# ACTS Test Suite Generation: Mon Feb 23 22:02:01 PST 2026
#  '*' represents don't care value 
# Degree of interaction coverage: 2
# Number of parameters: 3
# Maximum number of values per parameter: 8
# Number of configurations: 38
filter_type,input_data_type,data_property
select,array_numeric,unsorted
map,array_numeric,has_duplicates
sort,array_numeric,sorted
group_by,array_numeric,unsorted
unique,array_numeric,has_duplicates
add,array_numeric,sorted
length,array_numeric,unsorted
select,array_object,missing_keys
map,array_object,sorted
sort,array_object,has_duplicates
group_by,array_object,sorted
unique,array_object,unsorted
add,array_object,missing_keys
length,array_object,missing_keys
select,array_mixed,has_duplicates
map,array_mixed,unsorted
sort,array_mixed,sorted
group_by,array_mixed,has_duplicates
unique,array_mixed,sorted
add,array_mixed,unsorted
length,array_mixed,has_duplicates
select,array_empty,sorted
map,array_empty,sorted
sort,array_empty,sorted
group_by,array_empty,sorted
unique,array_empty,sorted
add,array_empty,sorted
length,array_empty,sorted
length,scalar_string,sorted
select,object_simple,missing_keys
map,object_simple,missing_keys
sort,object_simple,sorted
group_by,object_simple,sorted
unique,object_simple,sorted
length,object_simple,sorted
length,null,sorted
sort,array_mixed,unsorted
add,array_object,has_duplicates
